title,tag,artist,views,lyrics,happiness_from_lyrics
Baggy Pants,rap,Nick Spaceship,10,"[Intro]
Your dreams are like hand me downs
Big at first, but eventually you grow into them
Just give it time, give it time",0.8044181722216308
The Five Senses,misc,The Wiggles,3,"[Chorus]
I use my eyes to see see see
I use my nose to smell smell smell
I used my ears to hear hear hear
My hands to touch
And my tongue to taste (X2)",0.6067553963512182
Bright Idea,rock,Cream Dream,1,"Rewind first time I told you I loved you
In fact it was the only time
I was asking to be crushed alive
How could I dare
Why should I care
But still I do and I just don't know why

I should forget
Believe me I've tried
I would if I could

What if I told you that I've gone months
Not thinking of you, and it felt good
But here I am, back where I started
When I felt happy, but I don't now

If only as if I
Could ever forget it

What a bright idea
Put it out for everyone to hear
Maybe if I play it one more time
That will put it off my mind for good",0.37158177606761456
Not Bout Us,rap,Lil Newk,122,"[Chorus]
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud

[Verse 1]
See it's 24-7 and 365
I be out in that drive tryna touch a few bands
Tryna flip a few yams, tryna whip a few pots
But these niggas too fake
Always sneak hate, we don't see eye-to-eye
Lil' niggas freeze up, now they wanna switch up
I knew we wasn't gon' ride, but it ain't my fault
And it ain't my loss, so it ain't nothin' to wipe it off
I'm just tryna be a boss, ain't gotta pay that cost and stay away from the laws
My niggas Great Dane's, Clifford, big red dogs
Hot niggas, hot sauce
For a lil' piece of change it'll get a nigga gone, wack a whole clique off
You ain't talking 'bout me 'cause I've been in these streets
See me seven days of the week
Let a nigga wanna tweak
And I'ma grab street sweep, sweep a nigga like a broom off his feet
Catch Lil' Tunechi and it's a RIP
Still screaming out, ""Fuck Cream Team""
If a nigga want me it ain't hard to find me
South side [?] where I be, posted on T-block
Tryin' make me a knot, see the jakes, gotta run from the cops
I don't fuck with no opps, so it's fuck Wag Block
Niggas playin' crazy, catch a headshot
I don't need red dots, I just aim then pop, ask [?], I don't shoot leg shots
I just cock that Glock, focus in, then watch
Lemon squeeze, that nigga gon' drop
[Chorus]
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
[Verse 2]
I got shooters on deck that'll get a nigga wet
Go stupid, go crazy with the Tec
I'll [?]
Have 'em put you to rest, hollow tips, they'll chew through a vest
We ain't never been to school round here, lil' nigga
But you can take another test
My niggas gon' shoot, push his soul through the roof
Fuck niggas better move if you know what's next
Can't fuck with my squad
'Cause my gang gon' bang, shoot a nigga point-blank, close range
And they know we go hard
We be the gang they can't tame, so you best bet stay your lane
We'll pull your card, rob you and your mains, tuck chains, and we takin' everything
You ain't even wanna start
'Round here we don't play, shootouts with the opps broad day
Mistletoe gon' kiss, my bullets don't miss, wet a nigga up. stank like piss
And I ain't mean don't trip
Slide back to the dip, just drop me a opp on the strip
Like big [?], have a nigga so Crip put a little bit of red on that fit
You wasn't talking 'bout me
When you said that shit, you ain't 400K little bitch
Whole gang gon' bust, turn you to pixie dust
Ain't no luck when we shootin' shit up, I'll shoot your bitch
If she wanna act tough, putting holes all through the red truck
Thought he was a hologram till his ass got touched
Like a blunt, I'll spark his ass up
Foe nem goin' ham, two times. same cut, popped out, fucked your whole block up
[Chorus]
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud
You ain't talking 'bout us
'Cause my team gon' bust
Turn bitch niggas into dust
My gang too rough
We gon' leave niggas stuck
Put a nigga face in the mud

[Outro]
You're all a bunch of fucking assholes
You know why?
You don't have the guts to be what you wanna be
You need people like me
You need people like me so you can point your fucking fingers and say, ""That's the bad guy""",0.19698017165064813
III,pop,xixada,5,[Instrumental],
Bugün,rap,Pit10,84,"[Verse 1]
Bugün dışarı çıkıp bir kaç arkadaşla takıldım
Restoranda yeme içme arkanda da lakırdı (sonra)
Hafiften tartıştık parkta ancak barıştık (evet)
Gelecek kaygısız kavgalardan arındık (biz)
Bugün görüştük sevgilimle sahilde
Onsuz günlerde resmi hep kalbimde
Evine bıraktım tedbirle saatinde
Hızı saatte 150 ile takipte
Peşimdeydi birileri lakin fazla takmadım
Çoğaldığında mesafe tam virajda gazladım
Eve vardım vücudum ah bir anda kaskatı
Doldurdum viskimi az biraz rahatladım
Bugün güzel bir gündü herşeye rağmen
Garip işler başıma gelse de bazen
Sevgilim ve dostlarım benle beraber
Anlıyorlar beni ve bu dertlere çarem

[Nakarat]
Bugün olur tüm değişir herşey
Ayaktada durmasam elini verme
Hırs ve kin elinde gerisi nerde
Hayat denen sahnede belirir perde
Bugün olur tüm değişir herşey
Ayaktada durmasam elini verme
Hırs ve kin elinde gerisi nerde
Hayat denen sahnede belirir perde
[Verse 2]
Bugün dışarı çıkmadım çünkü fazla dostum yok
Olanlar sattı dün ve bugün sorgum bol
Hedefler belirsiz olsa bile noldun koç
Gelecek kaygısı buna dair korkum çok
Bugün ayrıldım iki yıllık sevgilimden
Çıkardım kaseti kırık tuşlu teybimizden
Kapattım gözlerimi olayları beynimizden
Onların istediği söylesene neydi bizden (neydi?)
Bugün öğle vakti kendime bir silah aldım
Değilim saldırgan ama yoruldum inan artık
Hergün tehdit var peki şimdi kim hatalı
Kendimi korumak mahkeme de biraz pahalı
Bugün düşündüm düşünmekten başka
Birşey yapmamışım bugün üzülmesem asla
Çünkü benim bedenime hüzün gelen fazla
Anladığını söyleyenler gülüp geçer anca

[Nakarat]
Bugün olur tüm değişir herşey
Ayaktada durmasam elini verme
Hırs ve kin elinde gerisi nerde
Hayat denen sahnede belirir perde
Bugün olur tüm değişir herşey
Ayaktada durmasam elini verme
Hırs ve kin elinde gerisi nerde
Hayat denen sahnede belirir perde
[Outro: Scratch]",0.2038475265726447
Good Old Days,pop,Pussy willows and pancakes,5,"Good Old Days
Well it must have been twenty years ago
When I found you there in the frozen snow
I said I can look after you
I was so far gone I thought that I'd collapse
But I told you dirty jokes until you laughed
I said I can look after you

And one day when I'm old grey
It will not matter much anyway
'Cause I can use your words like pillows
And when I sleep I can always dream about
The Good old days

And some day many years from now
You'll say why, but you won't remember how
Well I can look after you
And the angels they'll come dancin' at the door
But we'll say we already have enough
And we don't need anymore
Yea I can look after you
And one day when I'm old grey
It will not matter much anyway
'Cause I can use your words like pillows
And when I sleep I can always dream about
The Good ole days
Yea one day when I'm old grey
It will not matter much anyway
'Cause I can use your words like pillows
And when I sleep I can always dream about
The Good ole days
Word and Music by Mark Manthei  copywright Oct 12 1994",0.7646257560700178
Whos Who,pop,John Anderson,44,"Am I lover am I friend think it over is it me or him
Am I a fool or could I be wrong do I have a reason to keep hanging on
Who's who what's what will I be blue will he not
Please tell me girl I need to know what to do who's who

Are you certain or are you confused
Are you just being kind by not telling me we're through
Has he won your heart or do I have a chance
Lay it on the line let me know just where I stand

Who's who what's what will I be blue will he not...
What's what will I be blue will he not...
Who's who",0.24275764729827642
Dance For Me,rap,Maulo,244,"Intro

It’s Maulo yeah

Hook:
If I sing would you dance
Would you dance for me
If I show you my cash baby
Would you whine for me
If I sing would you dance
Would you dance for me
If I spray you my cash omoge
Would you shaku for me
Come shaku for me

Verse one
Open and close
Head shoulders knees and toes baby
Open and close
Touch your knees and toes
Say It’s Maulo Rhiddy
I step in the dance in my airforce ones
And the girls come dey start to shake their bum
Sister Elisey Aunty Denisa
Come on the stage no dey shake body
Good girl and bad girl they wanna have fun
So if they see me on the stage they go shaky dey  shakey dey shakey their  bumtity bumtity bumtity  bum
Maulo
Hook
If I sing would you dance
Would you dance for me
If I show you my cash baby
Would you whine for me
If I sing would you dance
Would you dance for me
If I spray you my cash omoge
Would you shaku for me
Come shaku for me

Verse Two
Moni

Hey pretty lay lay hey pretty lay
Hey pretty lay lay hey pretty lady
The way you dey roll this your body
Got a nigga feeling high like I smoke cannabis

She wants my money I want her body
The way she dey roll this her body
Got the niggas in the room screaming oh my goddy
Oh my goddy oh my goooooddy

She wants my money I want her body
The way she dey roll this her body
Got the nights in the room screaming
Oh my goooody
Roo ra gbon di
Roo ra gbon di
Hook three

If I sing would you dance
Would you dance for me
If I show you my cash baby
Would you whine for me
If I sing would you dance
Would you dance for me
If I spray you my cash omoge
Would you shaku for me
Come shaku for me. X2

It’s Maulo yeah
Migi migi
Miguel London

Whine for me
Would you shaku for me
Would you dance for me

Sometin like that
I say sometin like that",0.4054164160043001
ALL MY LOVE IS FOR YOU,pop,Girls' Generation (),2062,"[少女时代「ALL MY LOVE IS FOR YOU」歌詞]

Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Oh...

新しい街で乗った
電車の窓映った
不安そうな目をした私は

あなたが教えてくれた
自分らしさ忘れないで
今も輝いているかな?

流れてく景色 ふと深呼吸して
見上げた空の果て
あなたの声がした

遠く離れていても
目を閉じれば ほら
心はそばにいる
All my love’s for you
Nothing left to lose
誰よりも愛の意味を
力を知ってるから
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
(力を知ってるから) Oh...

愛が軽くなって
傾いた世界で
転がりそうな私を

あなたは支えてくれた
揺れる電車で立つよりも
簡単だよって 微笑んで

世界が終わっても あなたの笑顔を
永遠に信じようと
あの時決めていた

遠く離れていても
目を閉じれば ほら
心はそばにいる
All my love’s for you (all my love is true)
Nothing left to lose (nothing left to lose)
誰よりも愛の意味を (yeah yeah yeah yeah yeah)
力を知ってるから

Yeah, yeah, yeah (all my love is for you)
Yeah, yeah, yeah (whoa ooh whoa oh)
Yeah, yeah, yeah
(Yeah, yeah, yeah) Oh...
どんな未来も
この手で開くの

遠く遥かな道も (oh whoa) (oh my love)
あなたがずっと照らしてくれるから (ooh 照らしてくれるから)
歩き出せる 恐れずに (love for you)
誰よりも愛の意味を (oh whoa oh...)
力を知ってるから (oh whoa)

Yeah, yeah, yeah (oh whoa, yeah yeah)
Yeah, yeah, yeah (woo...)
Yeah, yeah, yeah (ooh...)
心はそばにいる (oh...)

Yeah, yeah, yeah (all my love is for you)
Yeah, yeah, yeah
Yeah, yeah, yeah
心はそばにいる (Oh...)

Yeah, yeah, yeah (oh whoa, oh whoa, yeah yeah)
Yeah, yeah, yeah (woo...)
Yeah, yeah, yeah (ooh...)
心はそばにいる",0.6076118852943182
